squawk,function
1624,RAF Battlespace Management HQ
1625,RAF Battlespace Management HQ
1626,RAF Battlespace Management HQ
1627,RAF Battlespace Management HQ
1628,RAF Battlespace Management HQ
1629,RAF Battlespace Management HQ
1630,RAF Battlespace Management HQ
1631,RAF Battlespace Management HQ
1632,RAF Battlespace Management HQ
1633,RAF Battlespace Management HQ
1634,RAF Battlespace Management HQ
1635,RAF Battlespace Management HQ
1636,RAF Battlespace Management HQ
1637,RAF Battlespace Management HQ
1638,RAF Battlespace Management HQ
1639,RAF Battlespace Management HQ
1640,RAF Battlespace Management HQ
1641,RAF Battlespace Management HQ
1642,RAF Battlespace Management HQ
1643,RAF Battlespace Management HQ
1644,RAF Battlespace Management HQ
1645,RAF Battlespace Management HQ
1646,RAF Battlespace Management HQ
1647,RAF Battlespace Management HQ
1648,RAF Battlespace Management HQ
1649,RAF Battlespace Management HQ
1650,RAF Battlespace Management HQ
1651,RAF Battlespace Management HQ
1652,RAF Battlespace Management HQ
1653,RAF Battlespace Management HQ
1654,RAF Battlespace Management HQ
1655,RAF Battlespace Management HQ
1656,RAF Battlespace Management HQ
1657,RAF Battlespace Management HQ
1658,RAF Battlespace Management HQ
1659,RAF Battlespace Management HQ
1660,RAF Battlespace Management HQ
1661,RAF Battlespace Management HQ
1662,RAF Battlespace Management HQ
1663,RAF Battlespace Management HQ
1664,RAF Battlespace Management HQ
1665,RAF Battlespace Management HQ
1666,RAF Battlespace Management HQ
1667,RAF Battlespace Management HQ
1668,RAF Battlespace Management HQ
1669,RAF Battlespace Management HQ
1670,RAF Battlespace Management HQ
1671,RAF Battlespace Management HQ
1672,RAF Battlespace Management HQ
1673,RAF Battlespace Management HQ
1674,RAF Battlespace Management HQ
1675,RAF Battlespace Management HQ
1676,RAF Battlespace Management HQ
1677,RAF Battlespace Management HQ
1700,RAF Air Command HQ
1701,RAF Battlespace Management HQ
1702,RAF Battlespace Management HQ
1703,RAF Battlespace Management HQ
1704,RAF Battlespace Management HQ
1705,RAF Battlespace Management HQ
1706,RAF Battlespace Management HQ
1707,RAF Battlespace Management HQ
1708,RAF Battlespace Management HQ
1709,RAF Battlespace Management HQ
1710,RAF Battlespace Management HQ
1711,RAF Battlespace Management HQ
1712,RAF Battlespace Management HQ
1713,RAF Battlespace Management HQ
1714,RAF Battlespace Management HQ
1715,RAF Battlespace Management HQ
1716,RAF Battlespace Management HQ
1717,RAF Battlespace Management HQ
1718,RAF Battlespace Management HQ
1719,RAF Battlespace Management HQ
1720,RAF Battlespace Management HQ
1721,RAF Battlespace Management HQ
1722,RAF Battlespace Management HQ
1723,RAF Battlespace Management HQ
1724,RAF Battlespace Management HQ
1725,RAF Battlespace Management HQ
1726,RAF Battlespace Management HQ
1727,RAF Battlespace Management HQ
1730,ATC Newquay
1731,ATC Newquay
1732,ATC Newquay
1733,ATC Newquay
1734,ATC Newquay
1735,ATC Newquay
1736,ATC Newquay
1737,ATC Newquay
1738,ATC Newquay
1739,ATC Newquay
1740,ATC Newquay
1741,ATC Newquay
1742,ATC Newquay
1743,ATC Newquay
1744,ATC Newquay
1745,ATC Newquay
1746,ATC Newquay
1730,ATC Farnborough LARS East
1731,ATC Farnborough LARS East
1732,ATC Farnborough LARS East
1733,ATC Farnborough LARS East
1734,ATC Farnborough LARS East
1735,ATC Farnborough LARS East
1736,ATC Farnborough LARS East
1737,ATC Farnborough LARS East
1738,ATC Farnborough LARS East
1739,ATC Farnborough LARS East
1740,ATC Farnborough LARS East
1741,ATC Farnborough LARS East
1742,ATC Farnborough LARS East
1743,ATC Farnborough LARS East
1744,ATC Farnborough LARS East
1745,ATC Farnborough LARS East
1746,ATC Farnborough LARS East
1730,RAF Spadeadam
1731,RAF Spadeadam
1732,RAF Spadeadam
1733,RAF Spadeadam
1734,RAF Spadeadam
1735,RAF Spadeadam
1736,RAF Spadeadam
1737,RAF Spadeadam
1738,RAF Spadeadam
1739,RAF Spadeadam
1740,RAF Spadeadam
